"Format","AiM CSV File"
"Session","Sodegaura"
"Vehicle","RS660"
"Racer","Mao"
"Championship",""
"Comment","Ripa"
"Date","Saturday, April 25, 2026"
"Time","2:58 PM"
"Sample Rate","20"
"Duration","977.993"
"Segment","Session"
"Beacon Markers","303.381","388.57","473.951","562.23","649.566","733.329","818.162","977.993"
"Segment Times","5:03.381","1:25.189","1:25.381","1:28.279","1:27.336","1:23.763","1:24.833","2:39.831"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","RPM dup 2","Throttle","Gear","Speed Rear","Lean Angle","Engine Brake"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","rpm","%","gear","km/h","deg","#"

"2.850","0.2729","13","0.0000","0.0000","-66.5752","137.5128","0.0000","145.0013","10.2000","0.1493","10000.0000","35.39478054","140.08804477","1644.4600","0.0000","0.0000","0.0000","-0.0001","1.0000"
"2.900","0.3296","13","0.0000","0.0000","-71.0530","54.8254","0.0000","144.9610","10.2000","0.1465","10000.0000","35.39478056","140.08804490","1654.8400","0.0000","0.0000","0.0000","-0.0001","1.0000"
"2.950","0.3519","13","0.0000","0.0000","-58.4748","81.1940","0.0000","144.9499","10.2000","0.1600","10000.0000","35.39478055","140.08804492","1631.3400","0.0000","0.0000","0.0000","-0.0001","1.0000"
"3.000","0.3214","13","0.0000","0.0000","-55.6844","77.0254","0.0000","144.9658","10.2000","0.1517","10000.0000","35.39478054","140.08804481","1606.1600","0.0000","0.0000","0.0000","-0.0001","1.0000"
"3.050","0.2500","13","0.0000","0.0000","-74.6598","78.7492","0.0000","144.9933","10.1000","0.1385","10000.0000","35.39478051","140.08804452","1579.6600","0.0000","0.0000","0.0000","-0.0001","1.0000"
"3.100","0.2093","13","0.0000","0.0000","-71.1178","-86.1423","0.0000","145.0146","10.1000","0.1168","10000.0000","35.39478054","140.08804426","1570.5200","0.0000","0.0000","0.0000","-0.0001","1.0000"
"3.150","0.2547","13","0.0000","0.0000","-48.0682","-81.7683","0.0000","145.0128","10.1000","0.1157","10000.0000","35.39478055","140.08804417","1575.0200","0.0000","0.0000","0.0000","-0.0001","1.0000"
"3.200","0.2625","13","0.0000","0.0000","-48.3594","-72.8755","0.0000","145.0175","10.1000","0.1200","10000.0000","35.39478056","140.08804413","1571.1200","0.0000","0.0000","0.0000","-0.0001","1.0000"
"3.250","0.1855","13","0.0000","0.0000","-67.9849","-102.7874","0.0000","145.0051","10.1000","0.1107","10000.0000","35.39478053","140.08804407","1560.6200","0.0000","0.0000","0.0000","-0.0001","1.0000"
"3.300","0.2129","13","0.0000","0.0000","-50.8470","-153.6688","0.0000","145.0074","10.1000","0.1233","10000.0000","35.39478052","140.08804408","1555.4456","0.0000","0.0000","0.0000","-0.0001","1.0000"
